id;edad;genero;ocupacion;ingreso_mensual;frecuencia_entrenamiento;tiempo_sesion_min;tipo_entrenamiento;objetivo_principal;motivacion;barreras;usa_app_fitness;nivel_tecnologia;disposicion_pago;lugar_preferido
1;35;M;profesional;1357263;4;76;pesas;estetica;estetica;tiempo;True;medio;media;gimnasio
2;53;F;profesional;1741748;3;70;pesas;bajar_peso;salud;tiempo;True;medio;media;aire_libre
3;30;M;independiente;1663483;3;78;pesas;ganar_musculo;salud;dinero;False;medio;alta;casa
4;39;M;independiente;957405;4;81;pesas;estetica;estetica;desmotivacion;True;medio;baja;aire_libre
5;23;F;profesional;1566121;4;61;pesas;bienestar;estetica;conocimiento;False;bajo;media;gimnasio
6;22;M;estudiante;643638;4;83;pesas;estetica;estetica;tiempo;False;alto;baja;gimnasio
7;28;M;estudiante;558744;4;32;HIIT;ganar_musculo;salud;dinero;True;alto;media;gimnasio
8;33;M;profesional;1240232;4;53;yoga;salud;medica;tiempo;True;medio;media;casa
9;36;M;profesional;2456972;3;49;cardio;bienestar;rendimiento;lesiones;True;medio;alta;aire_libre
10;59;F;profesional;2189833;5;60;funcional;rehabilitacion;mental;conocimiento;True;bajo;alta;casa
11;44;F;profesional;2237534;2;59;funcional;bajar_peso;mental;tiempo;True;medio;alta;aire_libre
12;34;M;profesional;1015080;3;60;pilates;salud;estetica;tiempo;True;alto;alta;casa
13;64;M;jubilado;647974;5;50;cardio;salud;salud;conocimiento;True;bajo;alta;gimnasio
14;30;M;profesional;1401793;5;87;pesas;ganar_musculo;estetica;lesiones;True;alto;alta;gimnasio
15;43;M;jubilado;885683;4;45;funcional;bienestar;social;tiempo;True;bajo;media;gimnasio
16;52;F;independiente;2052083;2;55;funcional;salud;medica;desmotivacion;True;medio;media;casa
17;43;F;jubilado;442001;3;46;pilates;salud;salud;tiempo;True;bajo;media;gimnasio
18;43;F;profesional;2524742;1;47;yoga;bienestar;mental;tiempo;True;medio;media;gimnasio
19;36;F;profesional;1633973;3;54;funcional;salud;medica;tiempo;True;alto;baja;casa
20;35;M;profesional;2510787;3;51;pilates;salud;mental;tiempo;False;alto;alta;casa
21;39;F;profesional;1161859;3;59;funcional;salud;mental;desmotivacion;True;alto;media;gimnasio
22;18;M;estudiante;378147;4;21;HIIT;bajar_peso;salud;dinero;True;alto;media;casa
23;26;F;profesional;1852235;2;58;funcional;salud;medica;conocimiento;False;bajo;media;gimnasio
24;31;M;independiente;1220444;3;59;pilates;salud;estetica;tiempo;True;alto;baja;gimnasio
25;58;F;profesional;1688415;5;55;funcional;bajar_peso;estetica;desmotivacion;True;alto;alta;gimnasio
26;57;M;jubilado;420057;3;51;funcional;bienestar;salud;conocimiento;True;medio;baja;casa
27;24;M;profesional;2406409;3;88;pesas;salud;salud;desmotivacion;True;alto;alta;gimnasio
28;31;M;profesional;1402317;3;45;funcional;bajar_peso;mental;tiempo;False;alto;media;casa
29;54;M;profesional;2120003;2;30;HIIT;bajar_peso;mental;desmotivacion;True;medio;baja;casa
30;29;F;estudiante;312805;4;57;yoga;estetica;estetica;conocimiento;False;alto;media;gimnasio
31;35;M;independiente;969705;4;23;HIIT;ganar_musculo;estetica;dinero;True;medio;baja;casa
32;43;M;jubilado;867363;2;87;pesas;estetica;mental;lesiones;True;medio;media;gimnasio
33;29;M;profesional;2314386;3;64;pesas;estetica;estetica;dinero;True;alto;media;gimnasio
34;46;F;profesional;2174825;3;57;pilates;rehabilitacion;salud;desmotivacion;True;alto;baja;aire_libre
35;31;M;jubilado;619687;4;57;funcional;ganar_musculo;estetica;lesiones;False;bajo;baja;casa
36;27;M;independiente;2004967;3;35;cardio;bajar_peso;salud;tiempo;False;medio;media;aire_libre
37;30;F;independiente;1283546;4;56;yoga;bajar_peso;salud;dinero;True;medio;alta;aire_libre
38;55;M;independiente;1118089;3;38;cardio;salud;medica;lesiones;False;bajo;alta;casa
39;36;M;profesional;1734909;4;47;yoga;bienestar;rendimiento;tiempo;True;alto;baja;gimnasio
40;29;M;profesional;1253870;5;60;pesas;ganar_musculo;rendimiento;tiempo;True;medio;baja;gimnasio
41;20;M;profesional;2483333;3;44;cardio;bajar_peso;mental;lesiones;True;alto;media;casa
42;28;M;estudiante;536350;4;66;pesas;bajar_peso;salud;conocimiento;True;alto;media;gimnasio
43;34;M;profesional;1021288;3;45;cardio;salud;;;;medio;alta;casa
44;31;M;profesional;2219610;3;54;pilates;bienestar;salud;tiempo;True;alto;alta;casa
45;26;M;independiente;2147377;4;33;cardio;bajar_peso;otro;dinero;True;alto;alta;gimnasio
46;29;F;profesional;1575272;4;20;HIIT;bajar_peso;mental;conocimiento;True;alto;media;gimnasio
47;27;M;estudiante;550467;3;90;pesas;bajar_peso;mental;dinero;True;alto;baja;aire_libre
48;24;F;profesional;2296917;2;46;funcional;bienestar;social;lesiones;True;alto;media;gimnasio
49;58;M;profesional;1170262;3;52;funcional;salud;salud;desmotivacion;True;alto;alta;casa
50;56;M;independiente;2010841;2;49;funcional;salud;medica;tiempo;True;medio;alta;casa
51;34;M;profesional;1982930;4;73;pesas;desconocido;estetica;tiempo;True;medio;media;gimnasio
52;19;M;profesional;2206279;5;59;funcional;estetica;rendimiento;conocimiento;True;medio;alta;gimnasio
53;42;M;profesional;1949186;4;86;pesas;estetica;rendimiento;tiempo;True;alto;alta;casa
54;20;F;independiente;1547616;5;35;HIIT;bajar_peso;estetica;tiempo;False;bajo;baja;gimnasio
55;33;F;profesional;2464336;2;58;funcional;bajar_peso;mental;tiempo;True;medio;baja;gimnasio
56;;;;;2;49;funcional;rehabilitacion;mental;dinero;False;bajo;baja;casa
57;37;M;profesional;1963706;4;60;funcional;salud;mental;conocimiento;True;alto;alta;casa
58;40;M;profesional;2052672;4;40;cardio;desconocido;estetica;dinero;False;bajo;media;gimnasio
59;51;M;independiente;2274120;2;44;cardio;salud;salud;conocimiento;False;bajo;baja;aire_libre
60;19;F;estudiante;380929;4;57;yoga;bajar_peso;estetica;dinero;True;alto;baja;casa
61;62;M;jubilado;435872;3;48;funcional;salud;medica;dinero;True;medio;baja;gimnasio
